[2018-04-03 23:50:22] error-1522792222.ERROR: Aviso , erro! [] []
[2018-04-03 23:50:26] error-1522792226.ERROR: Aviso , erro! [] []
[2018-04-03 23:55:56] error-1522792556.ERROR: Aviso , erro! [] []
[2018-04-03 23:55:58] error-1522792558.ERROR: Aviso , erro! [] []
[2018-04-04 00:01:10] error-1522792870.ERROR: Aviso , erro! [] []
[2018-04-04 00:01:11] error-1522792871.ERROR: Aviso , erro! [] []
[2018-04-04 00:01:17] error-1522792877.ERROR: Aviso , erro! [] []
[2018-04-04 00:01:36] error-1522792896.ERROR: Aviso , erro! [] []
[2018-04-04 00:02:17] error-1522792937.ERROR: Aviso , erro! [] []
[2018-04-04 00:02:19] error-1522792939.ERROR: Aviso , erro! [] []
[2018-04-04 00:02:20] error-1522792940.ERROR: Aviso , erro! [] []
[2018-04-04 00:02:26] error-1522792946.ERROR: Aviso , erro! [] []
[2018-04-04 00:02:48] error-1522792968.ERROR: Aviso , erro! [] []
[2018-04-04 00:08:38] error-1522793318.ERROR: Aviso , erro! [] []
[2018-04-04 00:12:36] error-1522793556.ERROR: Aviso , erro! [] []
[2018-04-04 00:12:38] error-1522793558.ERROR: Aviso , erro! [] []
[2018-04-04 00:14:33] error-1522793673.ERROR: Aviso , erro! [] []
[2018-04-04 00:15:54] error-1522793754.ERROR: Aviso , erro! [] []
[2018-04-04 00:15:58] error-1522793758.ERROR: Aviso , erro! [] []
[2018-04-04 00:16:06] error-1522793766.ERROR: Aviso , erro! [] []
[2018-04-04 00:19:00] error-1522793940.ERROR: Aviso , erro! [] []
[2018-04-04 00:21:20] error-1522794080.ERROR: Aviso , erro! [] []
[2018-04-04 00:21:22] error-1522794082.ERROR: Aviso , erro! [] []
[2018-04-04 00:21:26] error-1522794086.ERROR: Aviso , erro! [] []
[2018-04-04 00:21:32] error-1522794092.ERROR: Aviso , erro! [] []
[2018-04-04 00:21:35] error-1522794095.ERROR: Aviso , erro! [] []
[2018-04-04 00:21:41] error-1522794101.ERROR: Aviso , erro! [] []
[2018-04-04 00:21:43] error-1522794103.ERROR: Aviso , erro! [] []
[2018-04-04 00:21:45] error-1522794105.ERROR: Aviso , erro! [] []
[2018-04-04 00:21:49] error-1522794109.ERROR: Aviso , erro! [] []
[2018-04-04 00:24:27] error-1522794267.ERROR: Aviso , erro! [] []
[2018-04-04 00:24:29] error-1522794269.ERROR: Aviso , erro! [] []
[2018-04-04 00:26:44] error-1522794404.ERROR: Aviso , erro! [] []
[2018-04-04 00:26:48] error-1522794408.ERROR: Aviso , erro! [] []
[2018-04-04 00:26:53] error-1522794413.ERROR: Aviso , erro! [] []
[2018-04-04 00:26:56] error-1522794416.ERROR: Aviso , erro! [] []
[2018-04-04 00:26:58] error-1522794418.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:00] error-1522794420.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:03] error-1522794423.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:06] error-1522794426.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:20] error-1522794440.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:21] error-1522794441.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:26] error-1522794446.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:32] error-1522794452.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:39] error-1522794459.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:41] error-1522794461.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:44] error-1522794464.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:46] error-1522794466.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:50] error-1522794470.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:54] error-1522794474.ERROR: Aviso , erro! [] []
[2018-04-04 00:27:56] error-1522794476.ERROR: Aviso , erro! [] []
[2018-04-04 00:28:00] error-1522794480.ERROR: Aviso , erro! [] []
[2018-04-04 00:28:05] error-1522794485.ERROR: Aviso , erro! [] []
[2018-04-04 00:28:07] error-1522794487.ERROR: Aviso , erro! [] []
[2018-04-04 00:28:17] error-1522794497.ERROR: Aviso , erro! [] []
[2018-04-04 00:28:25] error-1522794505.ERROR: Aviso , erro! [] []
[2018-04-04 00:28:27] error-1522794507.ERROR: Aviso , erro! [] []
[2018-04-04 00:29:30] error-1522794570.ERROR: Aviso , erro! [] []
[2018-04-04 00:29:58] error-1522794598.ERROR: Aviso , erro! [] []
[2018-04-04 00:30:02] error-1522794602.ERROR: Aviso , erro! [] []
[2018-04-04 00:30:05] error-1522794605.ERROR: Aviso , erro! [] []
[2018-04-04 00:30:10] error-1522794610.ERROR: Aviso , erro! [] []
[2018-04-04 00:30:13] error-1522794613.ERROR: Aviso , erro! [] []
[2018-04-04 00:30:15] error-1522794615.ERROR: Aviso , erro! [] []
[2018-04-04 00:30:17] error-1522794617.ERROR: Aviso , erro! [] []
[2018-04-04 00:30:18] error-1522794618.ERROR: Aviso , erro! [] []
[2018-04-04 00:30:25] error-1522794625.ERROR: Aviso , erro! [] []
[2018-04-04 00:30:29] error-1522794629.ERROR: Aviso , erro! [] []
[2018-04-04 00:31:41] error-1522794701.ERROR: Aviso , erro! [] []
[2018-04-04 00:31:49] error-1522794709.ERROR: Aviso , erro! [] []
[2018-04-04 00:31:52] error-1522794712.ERROR: Aviso , erro! [] []
[2018-04-04 00:32:12] error-1522794732.ERROR: Aviso , erro! [] []
[2018-04-04 00:32:17] error-1522794737.ERROR: Aviso , erro! [] []
[2018-04-04 00:32:19] error-1522794739.ERROR: Aviso , erro! [] []
[2018-04-04 00:32:21] error-1522794741.ERROR: Aviso , erro! [] []
[2018-04-04 00:32:22] error-1522794742.ERROR: Aviso , erro! [] []
[2018-04-04 00:32:24] error-1522794744.ERROR: Aviso , erro! [] []
[2018-04-04 00:33:09] error-1522794789.ERROR: Aviso , erro! [] []
[2018-04-04 00:33:16] error-1522794796.ERROR: Aviso , erro! [] []
[2018-04-04 00:33:55] error-1522794835.ERROR: Aviso , erro! [] []
